Source,Target,Weight,Coefficient
minobj,c1,81,73.0
minobj,c41,81,82.0
minobj,c51,45,2.0
minobj,c96,45,14.0
minobj,c141,45,13.0
minobj,c213,45,14.0
minobj,c6,81,64.0
minobj,c97,45,23.0
minobj,c150,45,12.0
minobj,c105,45,14.0
minobj,c11,81,55.0
minobj,c98,45,32.0
minobj,c159,45,11.0
minobj,c106,45,23.0
minobj,c113,45,14.0
minobj,c16,81,46.0
minobj,c99,45,41.0
minobj,c168,45,10.0
minobj,c107,45,32.0
minobj,c114,45,23.0
minobj,c120,45,14.0
minobj,c21,81,37.0
minobj,c100,45,50.0
minobj,c177,45,9.0
minobj,c108,45,41.0
minobj,c115,45,32.0
minobj,c121,45,23.0
minobj,c126,45,14.0
minobj,c26,81,28.0
minobj,c101,45,59.0
minobj,c186,45,8.0
minobj,c109,45,50.0
minobj,c116,45,41.0
minobj,c122,45,32.0
minobj,c127,45,23.0
minobj,c131,45,14.0
minobj,c31,81,19.0
minobj,c102,45,68.0
minobj,c195,45,7.0
minobj,c110,45,59.0
minobj,c117,45,50.0
minobj,c123,45,41.0
minobj,c128,45,32.0
minobj,c132,45,23.0
minobj,c135,45,14.0
minobj,c36,81,10.0
minobj,c103,45,77.0
minobj,c204,45,6.0
minobj,c111,45,68.0
minobj,c118,45,59.0
minobj,c124,45,50.0
minobj,c129,45,41.0
minobj,c133,45,32.0
minobj,c136,45,23.0
minobj,c138,45,14.0
minobj,c46,81,10.0
minobj,c104,45,86.0
minobj,c222,45,6.0
minobj,c112,45,77.0
minobj,c119,45,68.0
minobj,c125,45,59.0
minobj,c130,45,50.0
minobj,c134,45,41.0
minobj,c137,45,32.0
minobj,c139,45,23.0
minobj,c140,45,14.0
minobj,c2,81,74.0
minobj,c42,81,83.0
minobj,c60,45,3.0
minobj,c7,81,65.0
minobj,c12,81,56.0
minobj,c17,81,47.0
minobj,c22,81,38.0
minobj,c27,81,29.0
minobj,c32,81,20.0
minobj,c37,81,11.0
minobj,c47,81,11.0
minobj,c3,81,75.0
minobj,c43,81,84.0
minobj,c69,45,4.0
minobj,c8,81,66.0
minobj,c13,81,57.0
minobj,c18,81,48.0
minobj,c23,81,39.0
minobj,c28,81,30.0
minobj,c33,81,21.0
minobj,c38,81,12.0
minobj,c48,81,12.0
minobj,c4,81,76.0
minobj,c44,81,85.0
minobj,c78,45,5.0
minobj,c9,81,67.0
minobj,c14,81,58.0
minobj,c19,81,49.0
minobj,c24,81,40.0
minobj,c29,81,31.0
minobj,c34,81,22.0
minobj,c39,81,13.0
minobj,c49,81,13.0
minobj,c5,81,77.0
minobj,c45,81,86.0
minobj,c87,45,6.0
minobj,c10,81,68.0
minobj,c15,81,59.0
minobj,c20,81,50.0
minobj,c25,81,41.0
minobj,c30,81,32.0
minobj,c35,81,23.0
minobj,c40,81,14.0
minobj,c50,81,14.0
minobj,c52,45,3.0
minobj,c142,45,21.0
minobj,c214,45,23.0
minobj,c151,45,19.0
minobj,c160,45,17.0
minobj,c169,45,15.0
minobj,c178,45,13.0
minobj,c187,45,11.0
minobj,c196,45,9.0
minobj,c205,45,7.0
minobj,c223,45,7.0
minobj,c61,45,4.0
minobj,c70,45,5.0
minobj,c79,45,6.0
minobj,c88,45,7.0
minobj,c53,45,4.0
minobj,c143,45,29.0
minobj,c215,45,32.0
minobj,c152,45,26.0
minobj,c161,45,23.0
minobj,c170,45,20.0
